0,120,2,180
1,119.99,2,180
2,119.98,2,180
3,119.97,2,180
4,119.96,2,180
5,119.95,2,180
6,119.94,2,180
7,119.93,2,180
8,119.92,2,180
9,119.91,2,180
10,119.9,2,180
11,119.89,2,180
12,119.88,2,180
13,119.87,2,180
14,119.86,2,180
15,119.85,2,180
16,119.84,2,180
17,119.83,2,180
18,119.82,2,180
19,119.81,2,180
20,119.8,2,180
21,119.79,2,180
22,119.78,2,180
23,119.77,2,180
24,119.76,2,180
25,119.75,2,180
26,119.74,2,180
27,119.73,2,180
28,119.72,2,180
29,119.71,2,180
30,119.7,2,180
31,119.69,2,180
32,119.68,2,180
33,119.67,2,180
34,119.66,2,180
35,119.65,2,180
36,119.64,2,180
37,119.63,2,180
38,119.62,2,180
39,119.61,2,180
40,119.6,2,180
41,119.59,2,180
42,119.58,2,180
43,119.57,2,180
44,119.56,2,180
45,119.55,2,180
46,119.54,2,180
47,119.53,2,180
48,119.52,2,180
49,119.51,2,180
50,119.5,2,180
51,119.49,2,180
52,119.48,2,180
53,119.47,2,180
54,119.46,2,180
55,119.45,2,180
56,119.44,2,180
57,119.43,2,180
58,119.42,2,180
59,119.41,2,180
60,119.4,2,180
61,119.39,2,180
62,119.38,2,180
63,119.37,2,180
64,119.36,2,180
65,119.35,2,180
66,119.34,2,180
67,119.33,2,180
68,119.32,2,180
69,119.31,2,180
70,119.3,2,180
71,119.29,2,180
72,119.28,2,180
73,119.27,2,180
74,119.26,2,180
75,119.25,2,180
76,119.24,2,180
77,119.23,2,180
78,119.22,2,180
79,119.21,2,180
80,119.2,2,180
81,119.19,2,180
82,119.18,2,180
83,119.17,2,180
84,119.16,2,180
85,119.15,2,180
86,119.14,2,180
87,119.13,2,180
88,119.12,2,180
89,119.11,2,180
90,119.1,2,180
91,119.09,2,180
92,119.08,2,180
93,119.07,2,180
94,119.06,2,180
95,119.05,2,180
96,119.04,2,180
97,119.03,2,180
98,119.02,2,180
99,119.01,2,180
100,119,2,180
101,118.99,2,180
102,118.98,2,180
103,118.97,2,180
104,118.96,2,180
105,118.95,2,180
106,118.94,2,180
107,118.93,2,180
108,118.92,2,180
109,118.91,2,180
110,118.9,2,180
111,118.89,2,180
112,118.88,2,180
113,118.87,2,180
114,118.86,2,180
