0,600,10,180
1,584,10,180
2,552,10,180
3,520,10,180
4,488,10,180
5,456,10,180
6,424,10,180
7,392,10,180
8,360,10,180
9,328,10,180
10,320,12,157.5
11,315,17,112.5
12,310,22,157.5
13,302,22,202.5
14,297,17,247.5
15,297,9,292.5
16,302,4,337.5
17,310,4,22.5
18,340,16,22.5
19,348,16,337.5
20,378,4,337.5
21,386,4,22.5
22,416,16,22.5
23,424,16,337.5
24,454,4,337.5
25,462,4,22.5
26,492,16,22.5
27,500,16,337.5
28,530,4,337.5
29,538,4,22.5
30,568,16,22.5
31,576,16,337.5
32,584,14,0
33,592,12,337.5
34,600,10,0
